vote,age,gender,degree,locality,katz_centrality
0,19,F,1,"Kastav, Croatia",0.0027
0,18,F,6,"Zagreb, Croatia",0.00307
0,23,F,5,"Novi Travnik, Bosnia and Herzegovina",0.00305
0,21,M,26,"Zagreb, Croatia",0.00876
0,18,F,1,"Zagreb, Croatia",0.00267
0,26,M,13,"Zagreb, Croatia",0.00529
0,28,F,1,"New York, NY, USA",0.00268
0,22,F,11,"Split, Croatia",0.00362
0,31,F,1,"Zagreb, Croatia",0.00266
0,19,F,5,"Munich, Germany",0.00289
0,26,M,5,unkown,0.00303
0,21,F,17,"Zagreb, Croatia",0.00489
0,23,M,1,"Ogulin, Croatia",0.00266
0,47,M,1,unkown,0.00273
0,19,M,10,unkown,0.00347
0,24,M,2,unkown,0.00304
0,38,F,2,"Graz, Austria",0.00321
0,19,M,2,"Posusje, Bosnia and Herzegovina",0.00271
0,34,M,2,"Zagreb, Croatia",0.00273
0,54,F,2,"Zagreb, Croatia",0.00356
0,20,F,1,"Split, Croatia",0.00266
0,22,F,2,"Zadar, Croatia",0.00274
0,20,F,2,unkown,0.00271
0,19,F,11,"Lukavec, Czech Republic",0.00385
0,28,F,5,"Osijek, Croatia",0.00321
0,54,F,21,"Zagreb, Croatia",0.00652
0,41,M,1,"Velika Gorica, Croatia",0.00265
0,21,F,1,"Varazdin, Croatia",0.00268
0,42,M,2,"Kastav, Croatia",0.00275
0,22,F,3,"Dakovo, Croatia",0.00282
0,19,F,39,"Zagreb, Croatia",0.01053
0,23,F,13,unkown,0.00393
0,43,F,20,"Zagreb, Croatia",0.00698
0,19,F,7,"Metkovic, Croatia",0.00314
0,47,M,3,"Zagreb, Croatia",0.00353
0,18,M,10,"Zagreb, Croatia",0.00412
0,22,M,6,"Zagreb, Croatia",0.00331
0,22,F,3,"Osijek, Croatia",0.00281
0,63,M,1,"Vukovar, Croatia",0.00266
0,23,M,12,"Dugo Selo, Croatia",0.00599
0,21,M,28,"Mali Losinj, Croatia",0.00824
0,23,M,1,unkown,0.0028
0,20,F,2,"10291, Savski Marof, Croatia",0.00272
0,22,F,1,"Miami, FL, USA",0.00267
0,24,M,4,"Zagreb, Croatia",0.003
0,27,F,2,"Zagreb, Croatia",0.00272
0,16,M,5,"Zagreb, Croatia",0.00326
0,18,M,7,"Velika Gorica, Croatia",0.00317
0,19,M,1,unkown,0.00266
0,22,M,32,"Leuven, Belgium",0.01478
0,26,F,4,unkown,0.00347
0,19,F,1,"Rijeka Rezevici, Montenegro",0.00266
0,21,F,2,"Sestanovac, Croatia",0.00279
0,21,M,11,"Ston, Croatia",0.00467
0,22,F,2,"Zadar, Croatia",0.00275
0,28,F,7,"Osijek, Croatia",0.00313
0,51,F,2,unkown,0.0028
0,22,M,5,"Zagreb, Croatia",0.00325
0,22,M,2,unkown,0.00276
0,28,M,5,"Zagreb, Croatia",0.00312
0,21,F,7,"Zagreb, Croatia",0.0035
0,21,M,5,"Rijeka, Croatia",0.00333
0,19,F,2,"Banici, Croatia",0.00278
0,31,F,4,"Zagreb, Croatia",0.00366
0,27,M,1,"Zagreb, Croatia",0.00266
0,42,F,3,"Virje, Croatia",0.00282
0,15,M,3,"Zagreb, Croatia",0.00285
0,47,F,8,"Zagreb, Croatia",0.00324
0,18,M,1,"London, UK",0.00266
0,21,F,9,"Zagreb, Croatia",0.00352
0,20,F,2,"Zagreb, Croatia",0.00292
0,19,F,36,"Zagreb, Croatia",0.00561
0,23,M,3,"Dugo Selo, Croatia",0.00278
0,29,M,8,"Zagreb, Croatia",0.00432
0,50,F,8,"Radovanci, Croatia",0.00328
0,19,F,11,"Slavonski Brod, Croatia",0.00332
0,36,M,5,"Nasice, Croatia",0.00306
0,17,M,3,unkown,0.00284
0,18,F,1,"Zagreb, Croatia",0.00265
0,19,F,21,unkown,0.0065
0,20,F,7,"Kutjevo, Croatia",0.00314
0,17,M,3,"Perusic, Croatia",0.00311
0,55,M,3,"Zagreb, Croatia",0.00293
0,46,F,1,unkown,0.00298
0,24,M,1,"Luka, Croatia",0.00266
0,44,F,6,"Zagreb, Croatia",0.00454
0,32,F,5,unkown,0.00336
0,24,M,3,"Velika Gorica, Croatia",0.00311
0,22,M,15,"Kaptol, Croatia",0.00376
0,47,M,3,"Dobrilovici, Serbia",0.00281
0,45,M,1,unkown,0.00395
0,18,M,6,"Pakrac, Croatia",0.00297
0,31,F,14,"Zagreb, Croatia",0.00444
0,25,F,4,"Dakovo, Croatia",0.00302
0,27,F,6,"Zagreb, Croatia",0.00402
0,52,M,1,unkown,0.00268
0,22,F,27,unkown,0.00811
0,25,F,9,"Zagreb, Croatia",0.00475
0,21,F,1,"Pula, Croatia",0.00271
0,19,F,3,"Zivinice, Bosnia and Herzegovina",0.00281
0,22,F,1,unkown,0.00266
0,22,F,1,unkown,0.00266
0,27,F,3,"Zagreb, Croatia",0.00282
0,54,F,5,unkown,0.0029
0,20,F,3,"Zadar, Croatia",0.00282
0,17,F,21,"Zupanja, Croatia",0.0077
0,18,F,4,"Stobrec, Croatia",0.00289
0,21,M,1,unkown,0.00266
0,19,F,2,"Posusje, Bosnia and Herzegovina",0.00272
0,17,M,5,"Slavonski Brod, Croatia",0.00293
0,18,F,8,"Zagreb, Croatia",0.0051
0,18,F,9,"Pozega, Croatia",0.0032
0,24,F,21,"Zagreb, Croatia",0.00579
0,54,F,1,"52000, Pazin, Croatia",0.00266
0,19,M,6,"Bjelovar, Croatia",0.00304
0,16,F,16,"Eminovci, Croatia",0.00428
0,21,F,11,unkown,0.00345
0,31,M,105,"Zagreb, Croatia",0.03676
0,25,F,3,unkown,0.00355
0,35,F,10,"Zagreb, Croatia",0.00481
0,22,F,2,"Sarajevo, Bosnia and Herzegovina",0.00271
0,20,M,1,"Chicago, IL, USA",0.0027
0,44,F,2,"Zagreb, Croatia",0.00277
0,23,M,5,"Osijek, Croatia",0.00297
0,16,F,4,"Vinkovci, Croatia",0.00282
0,21,M,21,"Zagreb, Croatia",0.00744
0,18,F,3,"Zagreb, Croatia",0.00311
0,19,F,5,"Karlovac, Croatia",0.00292
0,17,F,10,"Jaksic, Croatia",0.00345
0,19,F,1,"Vinkovci, Croatia",0.00266
0,30,F,10,"Dubrovnik, Croatia",0.00484
